project_uuid,job_name,job_uuid,floors,weight,is_ff,brand_uuid
f38187c6-ded0-4c0b-a01c-7b024ab809fb,L0802,b627be0a-91ce-45f2-861e-a65862598713,11,1275,FALSE,
f38187c6-ded0-4c0b-a01c-7b024ab809fb,L0901,411648e4-a1a2-4f75-9594-47aa4a702122,11,1275,FALSE,
f38187c6-ded0-4c0b-a01c-7b024ab809fb,L0902,7e404047-ce2b-412a-923b-33364f5b8882,11,1275,FALSE,
f38187c6-ded0-4c0b-a01c-7b024ab809fb,L1001,3b8cd3cf-be10-433f-8a3c-baeb0129188d,11,1275,FALSE,
f38187c6-ded0-4c0b-a01c-7b024ab809fb,L1002,b1f801fa-9751-4a3c-adfb-87996f124fa7,11,1275,FALSE,
f38187c6-ded0-4c0b-a01c-7b024ab809fb,L1101,5b449e1d-3bfd-469c-aec9-fbd277083d27,11,1275,FALSE,
f38187c6-ded0-4c0b-a01c-7b024ab809fb,L1102,a9696c79-fd9e-4e45-a3ae-3f6d747edc30,11,1275,FALSE,
f38187c6-ded0-4c0b-a01c-7b024ab809fb,L0601,efa0b793-fd1c-40bd-913f-9737aba96c0b,11,1275,FALSE,
f38187c6-ded0-4c0b-a01c-7b024ab809fb,L0602,702612eb-73e5-4085-b356-c847c14b11a5,11,1275,FALSE,
f38187c6-ded0-4c0b-a01c-7b024ab809fb,L0701,2f9e323a-ccf1-488c-8ca0-8f95e39d499b,11,1275,FALSE,
f38187c6-ded0-4c0b-a01c-7b024ab809fb,L0702,ae21052d-0d6a-4304-89f4-eb1c02d8000b,11,1275,FALSE,
f38187c6-ded0-4c0b-a01c-7b024ab809fb,L0101,e8267e01-2d27-4b7a-9bba-fc5667dd5040,10,1275,FALSE,
