day,mismatch_rows,inflow_mismatch_rows,outflow_mismatch_rows,change_mismatch_rows,total_abs_inflow_diff,total_abs_outflow_diff,total_abs_change_diff
2024-09-05,1,1,1,0,2207.43,2207.43,0
2025-09-11,1,1,1,0,248794.57,248794.57,0
2024-09-12,1,1,1,0,73500,73500,0
2025-09-18,1,1,1,0,10000,10000,0
2024-09-19,1,1,1,0,16565.38,16565.38,0
2025-09-25,1,1,1,0,28806.42,28806.42,0
2024-09-26,1,1,1,0,868255.91,868255.91,0
2024-03-31,1,1,1,0,38933.35,38933.35,0
2025-04-06,1,1,1,0,121923.94,121923.94,0
2024-04-07,1,1,1,0,62161.91,62161.91,0
2025-04-13,1,1,1,0,14463.37,14463.37,0
2024-04-14,1,1,1,0,19805.53,19805.53,0
2024-04-21,1,1,1,0,2500,2500,0
2025-04-27,1,1,1,0,15200,15200,0
2024-04-28,1,1,1,0,74855.43,74855.43,0
2025-08-03,1,1,1,0,6832.6,6832.6,0
2024-08-04,1,1,1,0,47619.89,47619.89,0
2025-08-10,1,1,1,0,5494.7,5494.7,0
2024-08-11,1,1,1,0,42367.83,42367.83,0
2025-08-17,1,1,1,0,300,300,0
2024-08-18,1,1,1,0,126469.08,126469.08,0
2025-08-24,1,1,1,0,146711.38,146711.38,0
2024-08-25,1,1,1,0,14495.41,14495.41,0
2025-11-30,1,1,1,0,4410.87,4410.87,0
2024-12-01,1,1,1,0,3607.94,3607.94,0
2025-12-07,1,1,1,0,47900.99,47900.99,0
2024-12-08,1,1,1,0,6758.54,6758.54,0
2025-12-14,1,1,1,0,397434.56,397434.56,0
2024-12-15,1,1,1,0,1000,1000,0
2025-12-21,1,1,1,0,175496.08,175496.08,0
2024-12-22,1,1,1,0,37552,37552,0
2025-12-28,1,1,1,0,954,954,0
2024-12-29,1,1,1,0,173815.24,173815.24,0
2026-02-01,1,1,1,0,24214.15,24214.15,0
2025-02-02,1,1,1,0,902.26,902.26,0
2024-02-04,1,1,1,0,13149.6,13149.6,0
2026-02-08,1,1,1,0,41085.96,41085.96,0
2025-02-09,1,1,1,0,59948.5,59948.5,0
2024-02-11,1,1,1,0,7460.98,7460.98,0
2026-02-15,1,1,1,0,3470.88,3470.88,0
2025-02-16,1,1,1,0,3202,3202,0
2024-02-18,1,1,1,0,8230,8230,0
2026-02-22,1,1,1,0,4549.9,4549.9,0
2025-02-23,1,1,1,0,123598.18,123598.18,0
2024-02-25,1,1,1,0,10134.46,10134.46,0
2026-01-04,1,1,1,0,1000,1000,0
2025-01-05,1,1,1,0,2717.78,2717.78,0
2024-01-07,1,1,1,0,42491.61,42491.61,0
2026-01-11,1,1,1,0,10540.93,10540.93,0
2025-01-12,1,1,1,0,552723.86,552723.86,0
2024-01-14,1,1,1,0,2523.34,2523.34,0
2025-01-19,1,1,1,0,42138.6,42138.6,0
2024-01-21,1,1,1,0,188859,188859,0
2026-01-25,1,1,1,0,135735.65,135735.65,0
2025-01-26,1,1,1,0,6031.11,6031.11,0
2024-01-28,1,1,1,0,200825,200825,0
2024-06-30,1,1,1,0,22575.54,22575.54,0
2025-07-06,1,1,1,0,21774.85,21774.85,0
2024-07-07,1,1,1,0,15156.44,15156.44,0
2025-07-13,1,1,1,0,59808.31,59808.31,0
2024-07-14,1,1,1,0,69417.5,69417.5,0
2024-07-21,1,1,1,0,46915.65,46915.65,0
2025-07-27,1,1,1,0,350,350,0
2024-07-28,1,1,1,0,22493.05,22493.05,0
2025-06-01,1,1,1,0,12171.46,12171.46,0
2024-06-02,1,1,1,1,31550.32,31494.37,55.95
2025-06-08,1,1,1,1,306322.91,306323.91,1
2024-06-09,1,1,1,0,130495.58,130495.58,0
2025-06-15,1,1,1,0,18669.01,18669.01,0
2024-06-16,1,1,1,0,14567.65,14567.65,0
2024-06-23,1,1,1,0,68451.43,68451.43,0
2025-06-29,1,1,1,0,7073.34,7073.34,0
2026-03-01,1,1,1,0,16950,16950,0
2024-03-03,1,1,1,0,59018.32,59018.32,0
2026-03-08,1,1,1,0,50220.41,50220.41,0
